PROVINCE,AKP,CHP,MHP,HDP,OTHERS,VALID11,AKPP11,CHPP11,MHPP11,HDPP11,OTHERS11
ADANA,0.304,0.28600000000000003,0.231,0.146,0.03300000000000011,1171911,0.374,0.3085,0.2032,0.0795,0.03480000000000004
ADIYAMAN,0.58,0.115,0.043,0.226,0.03599999999999994,306062,0.6729999999999999,0.1659,0.0461,0.06559999999999999,0.04939999999999998
AFYONKARAHISAR,0.523,0.16699999999999998,0.251,0.015,0.04400000000000006,426101,0.6042000000000001,0.1648,0.1864,0.0005,0.044099999999999966
AGRI,0.166,0.013999999999999999,0.027000000000000003,0.769,0.023999999999999914,202890,0.47619999999999996,0.0222,0.0222,0.43420000000000003,0.0452000000000001
AKSARAY,0.5820000000000001,0.069,0.298,0.021,0.03,200404,0.6609,0.11720000000000001,0.17980000000000002,0.0005,0.04159999999999996
AMASYA,0.45899999999999996,0.26,0.226,0.016,0.039000000000000055,211635,0.5219,0.2791,0.1503,0.0,0.04870000000000005
ANKARA,0.414,0.292,0.17800000000000002,0.055999999999999994,0.060000000000000143,2989046,0.4924,0.313,0.1464,0.01,0.03819999999999993
ANTALYA,0.353,0.325,0.217,0.07200000000000001,0.032999999999999974,1178084,0.39299999999999996,0.3322,0.2087,0.0239,0.04219999999999999
ARDAHAN,0.268,0.221,0.078,0.302,0.13099999999999995,56772,0.4022,0.3078,0.09949999999999999,0.1249,0.06560000000000002
ARTVIN,0.391,0.307,0.226,0.031,0.045,105114,0.46399999999999997,0.35369999999999996,0.1329,0.0016,0.04780000000000001
AYDIN,0.297,0.401,0.18,0.091,0.031000000000000087,632370,0.3547,0.3812,0.182,0.0381,0.043999999999999914
BALIKESIR,0.391,0.337,0.2,0.035,0.03699999999999989,766938,0.465,0.3378,0.1391,0.0088,0.049300000000000066
BARTIN,0.41600000000000004,0.302,0.18,0.017,0.085,119963,0.4817,0.2876,0.16,0.0,0.07069999999999993
BATMAN,0.18899999999999997,0.012,0.013000000000000001,0.7120000000000001,0.07400000000000005,220234,0.3713,0.067,0.0058,0.5147999999999999,0.0411
BAYBURT,0.6,0.027999999999999997,0.315,0.015,0.04200000000000003,43098,0.6339,0.038900000000000004,0.2421,0.0,0.08509999999999991
BILECIK,0.376,0.292,0.254,0.037000000000000005,0.041000000000000085,128985,0.42590000000000006,0.25379999999999997,0.2723,0.0,0.04799999999999997
BINGOL,0.47,0.016,0.028999999999999998,0.405,0.08,126560,0.6707,0.030699999999999998,0.013300000000000001,0.239,0.04630000000000024
BITLIS,0.314,0.017,0.04,0.595,0.03400000000000006,146078,0.507,0.0172,0.0318,0.4022,0.041800000000000066
BOLU,0.52,0.244,0.159,0.021,0.055999999999999946,177613,0.585,0.2005,0.161,0.0,0.05349999999999994
BURDUR,0.431,0.271,0.22899999999999998,0.019,0.05,166539,0.4899,0.2541,0.1863,0.0007000000000000001,0.06900000000000006
BURSA,0.44,0.27699999999999997,0.175,0.057999999999999996,0.05,1652628,0.5297,0.2498,0.1441,0.0165,0.059899999999999946
CANAKKALE,0.34600000000000003,0.39,0.198,0.031,0.03500000000000014,328056,0.4157,0.3946,0.146,0.0006,0.04310000000000002
CANKIRI,0.5920000000000001,0.069,0.282,0.013000000000000001,0.043999999999999914,110910,0.6559,0.0608,0.2309,0.0,0.05239999999999995
CORUM,0.5429999999999999,0.223,0.17600000000000002,0.023,0.03500000000000014,342605,0.6123,0.2401,0.10830000000000001,0.0007000000000000001,0.038600000000000134
DENIZLI,0.39799999999999996,0.348,0.18100000000000002,0.042,0.031000000000000087,598640,0.46619999999999995,0.3124,0.16940000000000002,0.0098,0.04219999999999999
DIYARBAKIR,0.14800000000000002,0.013000000000000001,0.012,0.778,0.04900000000000006,679364,0.32170000000000004,0.023399999999999997,0.0084,0.6169,0.02959999999999994
DUZCE,0.5920000000000001,0.161,0.156,0.024,0.06699999999999989,214077,0.6595,0.1242,0.1624,0.0,0.0539
EDIRNE,0.248,0.53,0.156,0.03,0.03600000000000009,264106,0.3039,0.517,0.1331,0.0011,0.04489999999999995
ELAZIG,0.529,0.069,0.20600000000000002,0.154,0.041999999999999885,316733,0.6740999999999999,0.1318,0.1446,0.0,0.049499999999999884
ERZINCAN,0.49200000000000005,0.253,0.165,0.057999999999999996,0.03200000000000003,128263,0.5709000000000001,0.3034,0.0931,0.0,0.03259999999999991
ERZURUM,0.52,0.031,0.23199999999999998,0.17800000000000002,0.039000000000000055,409745,0.6922,0.0484,0.1331,0.0814,0.04489999999999995
ESKISEHIR,0.36200000000000004,0.38799999999999996,0.16699999999999998,0.04,0.04299999999999997,504033,0.441,0.3553,0.146,0.005600000000000001,0.05210000000000008
GAZIANTEP,0.47,0.16399999999999998,0.17800000000000002,0.153,0.035,828241,0.6169,0.1931,0.094,0.053899999999999997,0.042099999999999936
GIRESUN,0.535,0.21899999999999997,0.183,0.013999999999999999,0.04899999999999991,259991,0.5938,0.2369,0.1191,0.0,0.05019999999999996
GUMUSHANE,0.5670000000000001,0.054000000000000006,0.31,0.019,0.05,69524,0.6502,0.07769999999999999,0.2158,0.0004,0.05590000000000003
HAKKARI,0.095,0.013999999999999999,0.026000000000000002,0.852,0.012999999999999972,118593,0.16469999999999999,0.009000000000000001,0.0103,0.7981999999999999,0.01780000000000001
HATAY,0.381,0.359,0.139,0.069,0.05199999999999989,795632,0.44439999999999996,0.38520000000000004,0.1263,0.0148,0.029299999999999927
IGDIR,0.11699999999999999,0.039,0.267,0.5589999999999999,0.018000000000000113,80816,0.2829,0.017,0.34090000000000004,0.3148,0.044399999999999974
ISPARTA,0.442,0.221,0.267,0.022000000000000002,0.04799999999999983,256007,0.529,0.21719999999999998,0.1891,0.0038,0.06090000000000004
ISTANBUL,0.41100000000000003,0.29100000000000004,0.11,0.126,0.06200000000000003,7960907,0.4938,0.3131,0.09390000000000001,0.053399999999999996,0.04579999999999998
IZMIR,0.267,0.44799999999999995,0.136,0.105,0.04400000000000006,2513121,0.3678,0.43689999999999996,0.1128,0.0481,0.03439999999999998
KAHRAMANMARAS,0.608,0.087,0.19699999999999998,0.055,0.05299999999999997,563484,0.6956,0.11460000000000001,0.1298,0.0054,0.054599999999999795
KARABUK,0.48,0.172,0.272,0.015,0.06099999999999994,141782,0.5793,0.19030000000000002,0.1557,0.0,0.07469999999999999
KARAMAN,0.5539999999999999,0.155,0.225,0.016,0.05,140442,0.5729,0.1888,0.1826,0.0,0.05569999999999993
KARS,0.272,0.121,0.139,0.435,0.03300000000000011,143791,0.42560000000000003,0.16699999999999998,0.1721,0.19210000000000002,0.04319999999999993
KASTAMONU,0.48700000000000004,0.18600000000000003,0.268,0.011000000000000001,0.04799999999999997,233104,0.5583,0.1466,0.2306,0.0,0.06450000000000003
KAYSERI,0.524,0.125,0.27399999999999997,0.027000000000000003,0.04999999999999986,737052,0.649,0.12140000000000001,0.1804,0.0004,0.048799999999999816
KIRIKKALE,0.506,0.154,0.284,0.017,0.03899999999999992,169107,0.6211,0.1515,0.1881,0.0,0.039299999999999925
KIRKLARELI,0.237,0.494,0.21100000000000002,0.027000000000000003,0.031000000000000087,227673,0.2743,0.5253,0.1653,0.0016,0.033499999999999946
KIRSEHIR,0.39799999999999996,0.193,0.316,0.064,0.029000000000000057,130745,0.5024000000000001,0.2259,0.21969999999999998,0.0139,0.03810000000000002
KILIS,0.49200000000000005,0.079,0.35,0.040999999999999995,0.03800000000000012,65452,0.5954,0.152,0.2094,0.0013,0.04190000000000012
KOCAELI,0.46399999999999997,0.242,0.152,0.077,0.065,957177,0.5271,0.2463,0.11939999999999999,0.0231,0.08409999999999997
KONYA,0.6509999999999999,0.099,0.163,0.045,0.04200000000000003,1163729,0.6964,0.10220000000000001,0.13119999999999998,0.0134,0.05679999999999993
KUTAHYA,0.545,0.12,0.266,0.013000000000000001,0.056000000000000084,374885,0.6459,0.1244,0.1583,0.0,0.0714
MALATYA,0.584,0.166,0.114,0.08199999999999999,0.053999999999999916,433377,0.6799,0.19760000000000003,0.0814,0.0126,0.028499999999999942
MANISA,0.371,0.289,0.23399999999999999,0.07,0.03599999999999994,867225,0.4696,0.28809999999999997,0.1691,0.027999999999999997,0.0452000000000001
MARDIN,0.198,0.013999999999999999,0.013000000000000001,0.721,0.054000000000000055,321291,0.3218,0.037200000000000004,0.0064,0.6087,0.025900000000000034
MERSIN,0.264,0.287,0.245,0.179,0.025,972046,0.32,0.3196,0.2309,0.0966,0.03290000000000006
MUGLA,0.26899999999999996,0.451,0.187,0.054000000000000006,0.03899999999999992,521086,0.3267,0.4558,0.16210000000000002,0.011200000000000002,0.04419999999999988
MUS,0.249,0.013999999999999999,0.02,0.7020000000000001,0.015,171446,0.42829999999999996,0.0415,0.0438,0.4426,0.04379999999999996
NEVSEHIR,0.524,0.15,0.273,0.018000000000000002,0.035,170101,0.6019,0.16329999999999997,0.18239999999999998,0.0004,0.052000000000000025
NIGDE,0.479,0.213,0.252,0.016,0.04,185035,0.5425,0.215,0.1911,0.0009,0.05049999999999997
ORDU,0.529,0.282,0.128,0.013000000000000001,0.04800000000000011,417382,0.6021,0.2261,0.1166,0.0079,0.047300000000000036
OSMANIYE,0.391,0.134,0.40399999999999997,0.042,0.028999999999999915,268604,0.4311,0.115,0.4122,0.0076,0.034099999999999964
RIZE,0.664,0.188,0.081,0.016,0.05100000000000009,195257,0.6890999999999999,0.1711,0.0765,0.0034999999999999996,0.05980000000000004
SAKARYA,0.565,0.159,0.192,0.03,0.053999999999999916,543328,0.6162,0.162,0.15,0.0063,0.06550000000000011
SAMSUN,0.529,0.23,0.177,0.016,0.04799999999999997,751385,0.615,0.21660000000000001,0.1125,0.0009,0.055
SIIRT,0.28600000000000003,0.016,0.025,0.648,0.025,122045,0.4803,0.0288,0.011699999999999999,0.42450000000000004,0.05469999999999999
SINOP,0.475,0.284,0.168,0.017,0.055999999999999946,126700,0.5492,0.3099,0.0828,0.0,0.05810000000000002
SIVAS,0.573,0.151,0.18,0.018000000000000002,0.07800000000000011,370260,0.6334000000000001,0.1527,0.09949999999999999,0.0462,0.06819999999999993
SANLIURFA,0.46799999999999997,0.044000000000000004,0.055999999999999994,0.381,0.05099999999999994,678286,0.6346,0.0321,0.033,0.2697,0.030600000000000023
SIRNAK,0.09699999999999999,0.013000000000000001,0.025,0.8390000000000001,0.025999999999999943,173257,0.2061,0.0298,0.011699999999999999,0.7231000000000001,0.02930000000000007
TEKIRDAG,0.316,0.439,0.15,0.059000000000000004,0.03599999999999994,510732,0.3594,0.44409999999999994,0.1341,0.015700000000000002,0.04670000000000016
TOKAT,0.516,0.20800000000000002,0.217,0.017,0.041999999999999885,362220,0.5589999999999999,0.2351,0.15810000000000002,0.0005,0.047300000000000036
TRABZON,0.5529999999999999,0.17,0.207,0.013000000000000001,0.05700000000000003,454565,0.5865,0.183,0.15289999999999998,0.0009,0.07669999999999988
TUNCELI,0.115,0.205,0.06,0.601,0.01900000000000006,46588,0.1575,0.5753,0.0213,0.22219999999999998,0.023700000000000044
USAK,0.38299999999999995,0.281,0.27399999999999997,0.027999999999999997,0.03399999999999991,222977,0.4975,0.2977,0.1632,0.0,0.04159999999999996
VAN,0.201,0.013000000000000001,0.027999999999999997,0.735,0.022999999999999972,426767,0.4025,0.037599999999999995,0.0298,0.4947,0.03540000000000006
YALOVA,0.397,0.28800000000000003,0.192,0.086,0.037000000000000026,125303,0.47229999999999994,0.3268,0.10460000000000001,0.0466,0.04969999999999999
YOZGAT,0.581,0.092,0.275,0.013999999999999999,0.03799999999999997,257313,0.6642,0.10949999999999999,0.18289999999999998,0.0,0.043400000000000036
ZONGULDAK,0.382,0.385,0.163,0.016,0.054000000000000055,390325,0.47229999999999994,0.3749,0.06309999999999999,0.029500000000000002,0.06019999999999996
